LearnerId,PathwayType,EngagementHours,ContentConsumed,AssessmentsTaken,PerformanceMetric,ProgressPercentage,AccessMode,CourseSuccess
5618,Health,29.979719346137400,17,3,50.365655948359200,20.860772712321200,1,0
4326,Arts,27.802639509751500,1,5,62.61596979322470,65.63241524373350,1,0
5849,Arts,86.82048469711870,14,2,78.4589624023972,63.81200658802420,1,1
4992,Science,35.03842663461650,17,10,59.19885273381350,95.43316189339760,0,1
3866,Programming,92.4906469645332,16,0,98.42828500171670,18.102477525410800,0,0
8650,Health,79.46612884332330,12,7,70.2333289468058,76.48402324939780,0,1
4321,Health,78.9087242374251,10,2,86.83653261494930,22.588896140963300,1,0
4589,Business,12.068236752159800,16,3,61.55364646476680,27.410990874379600,1,0
4215,Business,81.93570917985390,8,4,90.26456414855330,33.30843667864680,0,1
8089,Programming,83.39402571104470,15,10,63.956352955520500,33.26129953014600,1,0
5010,Science,55.44885317072930,3,7,57.50783648915670,80.63469702926730,0,0
8791,Arts,27.265330641921500,17,9,70.99850119498620,0.12833632293802700,0,0
4101,Arts,12.262483785584500,13,1,68.54184823678050,48.91869023749840,1,0
3039,Programming,33.79016764768900,1,5,97.70588953857870,77.31223562370480,0,1
3379,Science,40.787972087640700,7,3,72.02018992210480,87.47619949726860,1,1
5700,Science,37.74623794822220,10,8,93.30974857144090,95.8903217174662,0,1
7567,Programming,36.36982127760850,8,10,71.74027659522310,43.54888955385590,1,1
8772,Health,26.67976913466470,15,8,64.15505767450270,21.184777691520400,1,0
6817,Business,11.178047611849500,20,5,78.02583213062270,55.69746684173560,0,0
2866,Health,56.70844279087810,6,8,81.38063449593080,49.176911118789900,0,1
3134,Science,90.89545275723640,11,9,82.80335560655190,76.06002032466280,1,1
2716,Science,19.220062447323200,6,4,70.24297667055700,69.88922262914390,1,1
3153,Arts,24.988750032357300,6,9,64.48616706067620,7.433288004684600,1,0
6584,Business,33.48224410834040,3,9,59.8758706754866,78.58320720339480,0,0
230,Science,57.668364870808700,0,5,92.00831477467000,35.024928003816700,0,0
8813,Programming,33.8079156819551,12,1,53.6597605659185,89.9525527538609,0,1
3103,Programming,48.54343463363160,3,7,50.467631755212800,50.996831718753300,0,0
1274,Science,56.94215602063270,7,6,80.37425848450260,61.12697845853360,0,1
2398,Programming,40.813481802552800,15,0,55.02883721210790,56.94624076543880,0,0
8529,Programming,12.805246220606900,6,9,51.85830564221430,86.30231756665130,0,0
7858,Arts,64.89874148516610,13,6,97.34019871099640,68.02150504513820,1,1
7050,Programming,44.70916758562790,5,8,76.9412180222065,17.541934124071800,0,0
1676,Arts,44.463895154064300,16,10,51.70151786760180,53.400707703533000,0,0
4931,Business,79.92671792725720,18,3,82.8515882752971,69.03969779917360,1,1
1847,Programming,66.23533659953950,3,4,54.642636585229200,59.146139308126700,1,0
6083,Health,27.30889124247950,17,3,90.02120477161250,7.4349881557542100,0,0
2263,Health,30.33845961117750,11,10,85.91852407206680,94.54929861714220,0,1
8788,Arts,55.99522788037750,19,7,89.28612560657940,12.969146318848900,0,0
4546,Arts,26.021524206096900,7,8,81.67770398732850,33.32047026777090,0,1
6675,Arts,46.16776436128020,20,5,57.51320694226910,67.48314094068170,0,1
4345,Arts,14.964920149737400,9,6,96.20605086239360,35.90245247288350,0,0
7918,Science,23.371860080863200,12,1,74.71747173615050,60.72715873028090,1,1
3267,Science,35.09837657550160,13,6,53.80004944829930,42.34052102368500,1,0
4926,Business,74.53035551256860,2,7,79.58932418252480,79.92665079525300,1,1
3405,Programming,90.28199332772540,19,3,85.757982927004,47.14835242341190,0,0
99,Business,96.42768519524570,7,0,70.18434249993250,15.54444396051930,1,0
911,Science,11.445850993718900,6,8,82.99278190747740,55.47063348875230,1,0
8895,Health,21.12566598815970,7,10,67.06323236445890,5.094871160295810,1,1
2218,Business,94.96213323193650,13,8,96.74738134978740,80.8161152568603,1,1
3435,Science,87.24751758868150,0,9,60.12098346303220,5.944659811055050,1,0
3763,Programming,20.012157362341400,1,2,66.3330807982308,43.60312452908890,0,0
4190,Health,76.08711898360350,16,10,69.87188422800710,5.123885111849410,1,0
8217,Programming,89.88527688054050,2,3,89.94464524289670,78.47655174140450,1,0
3823,Science,36.58505759204170,13,7,78.47425985306090,85.52357567109640,0,1
3275,Health,68.0311152231597,13,0,96.94199526194950,5.1013744565620200,0,0
2106,Arts,3.34791967027327,8,4,96.54886729714610,27.991879727057100,1,0
7257,Arts,9.739541103872540,15,1,70.99381544683520,61.79129346746700,0,0
8001,Programming,31.21067472319170,4,8,72.95086263740640,94.8652576426956,0,1
3399,Programming,84.69650096837620,15,7,90.25993654537130,44.68531007614130,1,1
3108,Arts,41.54232954759270,7,2,59.47520889482440,93.94135862944830,0,0
8761,Arts,3.52919271103881,13,9,85.73436748006170,5.514118167504460,0,1
8781,Arts,32.63535722496230,10,4,74.75876252080350,70.11965165777210,1,1
722,Arts,49.57074401392170,10,10,77.69134096892440,18.701011306557500,0,1
3062,Business,80.15828576609830,2,5,79.2052751471904,19.133233403325000,1,0
3097,Arts,45.68233579025560,12,10,91.99174290445990,78.9148654932726,0,1
8491,Programming,38.49037566996720,17,8,63.13736293025260,78.86536604091220,0,0
6314,Arts,53.58868062990960,0,3,51.604869763345500,47.47055356057130,1,0
6438,Health,56.17716140693020,9,8,97.27643294899130,32.06852075725270,1,1
6829,Science,9.858359915259320,8,9,60.669424134447000,25.490091204083200,1,0
5191,Health,5.971099024299700,14,9,60.650799169906400,38.471446170986100,1,0
4114,Programming,94.78114798588700,14,4,87.78225140011360,15.985817563272700,0,1
8979,Programming,56.227531063889300,18,0,96.62762883560020,64.02928474191080,1,1
7288,Health,96.932283386797,2,4,59.31723336318420,27.12688424166270,1,0
558,Health,53.218189908451500,3,7,97.00846595291440,93.15020403256350,1,1
6635,Science,27.8746056390781,20,9,89.02223857909610,28.45747766359980,0,1
993,Science,36.95572324790630,7,4,70.54541633714290,12.21204793660880,1,1
2822,Programming,13.336806563044600,18,1,77.6143296891323,36.65234427163580,1,0
1242,Health,14.218039583929100,18,10,91.70042042457570,69.64615576728980,0,1
6073,Business,67.7494196011917,7,4,52.168926453753,66.05835423911270,0,1
6017,Health,95.93155587967530,12,5,52.04329207292740,59.76003664322450,0,0
6123,Health,22.773497069227500,5,2,65.4381647257423,76.96820347037490,1,0
4506,Business,53.87606731850070,11,7,87.50740175850820,95.55933224544800,1,1
4899,Health,42.09273477177210,9,2,75.59385542726580,43.52847751132490,1,0
8938,Health,40.398077268066400,7,4,53.408002982344500,48.793590491573600,1,1
4891,Health,65.0337603745606,19,7,74.62656494021550,35.4340401666406,0,1
7310,Business,2.346835149616160,4,2,88.32572285678340,61.32818909542180,0,0
4045,Science,67.1254398101185,3,10,60.793632364030800,67.46767278561450,1,0
2277,Health,32.551028471254300,4,7,50.52054933062580,26.335472838207900,1,0
6089,Health,33.221429878985600,10,0,71.02668603641430,69.55960060287880,1,1
3329,Health,3.608385887197840,12,6,73.87502611171490,71.4711334471692,0,1
3523,Health,81.137847751928,9,4,52.5479188384228,71.03879989153980,1,1
2174,Arts,75.48784291822730,1,5,51.793778258704500,24.74935070651190,1,0
5297,Arts,60.93463682338110,20,9,81.58560513375860,29.00188364857850,1,1
5485,Science,1.776647202821700,11,7,50.780573331359300,59.4793471672893,0,0
1181,Business,55.29169273744930,19,2,81.43226203068520,79.31814212891160,1,1
1484,Programming,54.17976283879890,9,2,73.66606452746700,35.7469591802418,1,0
2556,Programming,19.430338538861000,18,6,63.9813173841432,51.22714861350370,1,0
3106,Health,36.685839885776300,9,3,97.01783572328600,79.00436169083590,0,1
4135,Health,15.086335642482600,18,2,77.47082149010790,86.6319592006087,1,0
7417,Health,9.880230403817210,2,5,52.14262839320920,42.92665417639110,0,0
7376,Health,57.10007792126630,16,1,98.43352614008880,95.64807029994110,0,1
5110,Business,22.17836417947210,0,9,68.00077698333660,88.49886056707630,0,0
4069,Health,87.55093579174930,9,0,86.94631148227100,89.25673969153370,0,1
7560,Health,16.895223265553900,14,9,68.57645327350010,48.34825924315630,0,0
5813,Arts,90.90507359950240,19,8,78.78184188120730,46.47547351933570,0,1
3596,Programming,48.76269556773060,17,4,67.40102537778350,41.64978118324390,1,0
7467,Business,64.2336174728836,19,7,96.1427774048847,6.182249654034180,1,1
8171,Arts,1.3345058340328100,8,5,89.37415887109420,49.23327199072880,1,0
2981,Arts,6.258941795701110,19,5,97.95822686989940,17.25951474329070,0,0
345,Business,24.681897715387700,4,10,76.06499391624810,30.622570345458000,1,0
6748,Health,18.13941847735040,0,0,62.81103980889200,82.11963631283040,1,0
1314,Programming,10.056812835035100,10,8,75.4104087518778,25.956530918507300,0,0
6719,Programming,84.14609769473010,15,5,73.70656958563230,62.54344521952090,1,1
5307,Arts,9.742959400639200,9,7,62.05238624899020,55.88842511336090,0,0
7593,Business,35.96228582597120,4,0,86.88619783111700,73.9792576500326,1,0
5817,Arts,3.440949514982400,0,6,87.17420880316590,49.40500868803230,0,0
6649,Science,25.470299714857200,0,9,51.52728968677450,72.11856514527720,1,0
4175,Health,15.344967271427300,6,8,90.62201201982950,63.37961430561170,0,1
7581,Business,54.18360976009400,20,6,65.73490412386320,65.10002248370920,0,1
2797,Programming,14.452728862631800,13,3,99.01323750512740,4.446850551911400,0,0
6528,Arts,94.65421714056570,4,10,67.77543537154130,3.4368232405588500,0,0
589,Science,9.684046530276470,18,0,61.66858157318340,38.78834401380910,0,0
318,Business,11.826234407838400,6,2,61.12123409860750,61.65013487721440,1,0
1051,Science,89.88178483281060,18,1,73.09700977504750,61.85231898492770,0,1
1849,Science,87.28302239010450,15,10,85.9452131673776,43.989207150782000,1,1
7463,Business,19.268970022927800,0,6,69.57944029756530,10.806673975007200,0,0
8890,Health,13.022818957109100,11,6,75.82772230082860,3.193659352528560,0,0
8208,Business,88.99990602599180,11,6,69.62323914564100,91.94907791430670,0,1
2446,Science,72.50880566404710,15,7,91.56188149358690,89.70828922039560,1,1
7874,Arts,15.187693591285500,8,5,51.381414967815100,52.16741693520290,0,0
5954,Business,17.9797867671542,6,2,67.17301884593980,71.79811032462090,0,0
282,Health,87.26202564168800,3,7,70.86462688673280,95.53449799797220,0,1
5126,Health,10.471202332393100,8,9,76.52730196967580,72.84725350098750,1,1
8522,Programming,29.24110253221180,6,10,76.85944197829930,33.770820881830700,0,1
2478,Business,29.445702989537300,7,6,85.18513763219010,26.158099617094900,0,1
8839,Science,34.17730240292630,20,6,98.48392741798900,69.34892468921300,0,1
5217,Business,26.820034292084900,8,4,84.1227064022452,72.65406916868660,1,1
2844,Programming,1.68880114302583,5,8,86.52103600402900,18.250101824182400,1,0
7584,Arts,52.148785672131700,2,7,88.28163858125460,79.30162112492180,0,1
3202,Arts,99.75386082052770,19,4,70.54991868410820,24.970614858498000,1,1
1157,Programming,46.99369367948540,0,7,62.524510949444800,57.054908474642500,0,0
3066,Business,83.31024557110080,4,1,93.29728091488350,95.83785631215680,0,0
7054,Business,52.25632505334180,9,0,86.32073431530330,46.52250129976820,1,0
